"business_id","Score","date","type"
1000,"57","20130424","routine"
10011,"93","20130415","routine"
1003,"84","20130430","routine"
10030,"100","20130110","routine"
1005,"88","20130408","routine"
10065,"96","20130312","routine"
1008,"96","20130416","routine"
10099,"92","20130122","routine"
10102,"68","20130416","routine"
10131,"90","20130321","routine"
10170,"75","20130321","routine"
1018,"98","20130320","routine"
10235,"88","20130319","routine"
1026,"92","20130220","routine"
1027,"94","20130122","routine"
10280,"100","20130205","routine"
10282,"96","20130215","routine"
1031,"93","20130304","routine"
10332,"83","20130319","routine"
1036,"76","20130312","routine"
10362,"92","20130417","routine"
10363,"100","20130122","routine"
10373,"94","20130318","routine"
10377,"96","20130405","routine"
104,"98","20130305","routine"
1042,"90","20130301","routine"
1043,"96","20130213","routine"
10433,"90","20130308","routine"
10578,"96","20130213","routine"
1060,"98","20130103","routine"
1062,"82","20130509","routine"
1064,"90","20130118","routine"
1065,"91","20130103","routine"
1074,"93","20130314","routine"
1075,"92","20130312","routine"
108,"84","20130206","routine"
1081,"98","20130425","routine"
1085,"92","20130412","routine"
1087,"92","20130211","routine"
10886,"86","20130114","routine"
1093,"82","20130117","routine"
10931,"100","20130510","routine"
10960,"92","20130124","routine"
10973,"100","20130326","routine"
1098,"55","20130415","routine"
10986,"100","20130129","routine"
10990,"91","20130116","routine"
11018,"90","20130108","routine"
1102,"96","20130322","routine"
1103,"94","20130509","routine"
11047,"98","20130327","routine"
11079,"92","20130102","routine"
1124,"94","20130206","routine"
1127,"100","20130228","routine"
11296,"84","20130508","routine"
1135,"94","20130205","routine"
11365,"87","20130503","routine"
1139,"84","20130403","routine"
11416,"94","20130208","routine"
1147,"100","20130114","routine"
11487,"93","20130405","routine"
11488,"94","20130405","routine"
11492,"79","20130207","routine"
1151,"96","20130207","routine"
1154,"89","20130426","routine"
1156,"94","20130424","routine"
11568,"83","20130104","routine"
1159,"96","20130430","routine"
11594,"100","20130315","routine"
116,"90","20130416","routine"
11607,"90","20130114","routine"
11633,"75","20130416","routine"
